bucket_open_et,open,high,low,close,volume,n_source_minutes,source_first_ts,source_last_ts,bucket_close_et,availability_et,tf,complete
2026-07-10 03:40:00-04:00,29806.5,29807.0,29793.75,29796.75,158,5,2026-07-10 03:40:00-04:00,2026-07-10 03:44:00-04:00,2026-07-10 03:45:00-04:00,2026-07-10 03:45:00-04:00,5m,True
2026-07-10 03:45:00-04:00,29796.5,29799.0,29781.25,29791.0,491,5,2026-07-10 03:45:00-04:00,2026-07-10 03:49:00-04:00,2026-07-10 03:50:00-04:00,2026-07-10 03:50:00-04:00,5m,True
2026-07-10 03:50:00-04:00,29790.25,29795.5,29766.5,29769.0,596,5,2026-07-10 03:50:00-04:00,2026-07-10 03:54:00-04:00,2026-07-10 03:55:00-04:00,2026-07-10 03:55:00-04:00,5m,True
2026-07-10 03:55:00-04:00,29770.0,29777.25,29761.75,29774.0,526,5,2026-07-10 03:55:00-04:00,2026-07-10 03:59:00-04:00,2026-07-10 04:00:00-04:00,2026-07-10 04:00:00-04:00,5m,True
2026-07-10 04:00:00-04:00,29773.75,29783.75,29751.25,29756.25,938,5,2026-07-10 04:00:00-04:00,2026-07-10 04:04:00-04:00,2026-07-10 04:05:00-04:00,2026-07-10 04:05:00-04:00,5m,True
2026-07-10 04:05:00-04:00,29757.75,29781.0,29743.75,29781.0,870,5,2026-07-10 04:05:00-04:00,2026-07-10 04:09:00-04:00,2026-07-10 04:10:00-04:00,2026-07-10 04:10:00-04:00,5m,True
2026-07-10 04:10:00-04:00,29782.0,29799.5,29778.75,29796.75,480,5,2026-07-10 04:10:00-04:00,2026-07-10 04:14:00-04:00,2026-07-10 04:15:00-04:00,2026-07-10 04:15:00-04:00,5m,True
2026-07-10 04:15:00-04:00,29797.0,29803.75,29786.0,29789.5,501,5,2026-07-10 04:15:00-04:00,2026-07-10 04:19:00-04:00,2026-07-10 04:20:00-04:00,2026-07-10 04:20:00-04:00,5m,True
2026-07-10 04:20:00-04:00,29789.25,29789.25,29755.5,29765.75,556,5,2026-07-10 04:20:00-04:00,2026-07-10 04:24:00-04:00,2026-07-10 04:25:00-04:00,2026-07-10 04:25:00-04:00,5m,True
2026-07-10 04:25:00-04:00,29766.0,29780.25,29765.5,29768.75,370,5,2026-07-10 04:25:00-04:00,2026-07-10 04:29:00-04:00,2026-07-10 04:30:00-04:00,2026-07-10 04:30:00-04:00,5m,True
2026-07-10 04:30:00-04:00,29768.25,29773.0,29754.0,29772.5,369,5,2026-07-10 04:30:00-04:00,2026-07-10 04:34:00-04:00,2026-07-10 04:35:00-04:00,2026-07-10 04:35:00-04:00,5m,True
2026-07-10 04:35:00-04:00,29773.25,29785.25,29765.0,29778.75,449,5,2026-07-10 04:35:00-04:00,2026-07-10 04:39:00-04:00,2026-07-10 04:40:00-04:00,2026-07-10 04:40:00-04:00,5m,True
2026-07-10 04:40:00-04:00,29778.25,29785.25,29760.0,29785.25,379,5,2026-07-10 04:40:00-04:00,2026-07-10 04:44:00-04:00,2026-07-10 04:45:00-04:00,2026-07-10 04:45:00-04:00,5m,True
2026-07-10 04:45:00-04:00,29785.25,29795.75,29780.0,29792.75,446,5,2026-07-10 04:45:00-04:00,2026-07-10 04:49:00-04:00,2026-07-10 04:50:00-04:00,2026-07-10 04:50:00-04:00,5m,True
2026-07-10 04:50:00-04:00,29792.75,29799.0,29778.25,29783.75,475,5,2026-07-10 04:50:00-04:00,2026-07-10 04:54:00-04:00,2026-07-10 04:55:00-04:00,2026-07-10 04:55:00-04:00,5m,True
2026-07-10 04:55:00-04:00,29783.25,29788.25,29772.0,29773.25,234,5,2026-07-10 04:55:00-04:00,2026-07-10 04:59:00-04:00,2026-07-10 05:00:00-04:00,2026-07-10 05:00:00-04:00,5m,True
2026-07-10 05:00:00-04:00,29776.75,29782.5,29717.25,29766.25,2014,5,2026-07-10 05:00:00-04:00,2026-07-10 05:04:00-04:00,2026-07-10 05:05:00-04:00,2026-07-10 05:05:00-04:00,5m,True
2026-07-10 05:05:00-04:00,29767.25,29779.0,29763.0,29777.5,297,5,2026-07-10 05:05:00-04:00,2026-07-10 05:09:00-04:00,2026-07-10 05:10:00-04:00,2026-07-10 05:10:00-04:00,5m,True
2026-07-10 05:10:00-04:00,29775.5,29800.75,29773.75,29795.5,549,5,2026-07-10 05:10:00-04:00,2026-07-10 05:14:00-04:00,2026-07-10 05:15:00-04:00,2026-07-10 05:15:00-04:00,5m,True
2026-07-10 05:15:00-04:00,29797.0,29817.5,29796.75,29815.5,558,5,2026-07-10 05:15:00-04:00,2026-07-10 05:19:00-04:00,2026-07-10 05:20:00-04:00,2026-07-10 05:20:00-04:00,5m,True
2026-07-10 05:20:00-04:00,29815.0,29816.25,29798.75,29806.0,320,5,2026-07-10 05:20:00-04:00,2026-07-10 05:24:00-04:00,2026-07-10 05:25:00-04:00,2026-07-10 05:25:00-04:00,5m,True
2026-07-10 05:25:00-04:00,29806.25,29817.0,29804.25,29813.5,312,5,2026-07-10 05:25:00-04:00,2026-07-10 05:29:00-04:00,2026-07-10 05:30:00-04:00,2026-07-10 05:30:00-04:00,5m,True
2026-07-10 05:30:00-04:00,29810.0,29825.0,29806.0,29825.0,368,5,2026-07-10 05:30:00-04:00,2026-07-10 05:34:00-04:00,2026-07-10 05:35:00-04:00,2026-07-10 05:35:00-04:00,5m,True
2026-07-10 05:35:00-04:00,29823.5,29827.75,29810.75,29826.0,360,5,2026-07-10 05:35:00-04:00,2026-07-10 05:39:00-04:00,2026-07-10 05:40:00-04:00,2026-07-10 05:40:00-04:00,5m,True
2026-07-10 05:40:00-04:00,29826.0,29827.5,29810.5,29815.5,261,5,2026-07-10 05:40:00-04:00,2026-07-10 05:44:00-04:00,2026-07-10 05:45:00-04:00,2026-07-10 05:45:00-04:00,5m,True
2026-07-10 05:45:00-04:00,29818.0,29827.25,29808.25,29809.75,413,5,2026-07-10 05:45:00-04:00,2026-07-10 05:49:00-04:00,2026-07-10 05:50:00-04:00,2026-07-10 05:50:00-04:00,5m,True
2026-07-10 05:50:00-04:00,29810.0,29815.5,29803.75,29807.0,399,5,2026-07-10 05:50:00-04:00,2026-07-10 05:54:00-04:00,2026-07-10 05:55:00-04:00,2026-07-10 05:55:00-04:00,5m,True
2026-07-10 05:55:00-04:00,29805.5,29820.75,29800.75,29814.75,294,5,2026-07-10 05:55:00-04:00,2026-07-10 05:59:00-04:00,2026-07-10 06:00:00-04:00,2026-07-10 06:00:00-04:00,5m,True
2026-07-10 06:00:00-04:00,29820.75,29839.25,29818.0,29830.75,484,5,2026-07-10 06:00:00-04:00,2026-07-10 06:04:00-04:00,2026-07-10 06:05:00-04:00,2026-07-10 06:05:00-04:00,5m,True
2026-07-10 06:05:00-04:00,29829.75,29841.75,29828.0,29838.5,255,5,2026-07-10 06:05:00-04:00,2026-07-10 06:09:00-04:00,2026-07-10 06:10:00-04:00,2026-07-10 06:10:00-04:00,5m,True
