episode_id,variant_id,entry_variant,reaction_state,match_mode,playbook_items,direction,lane,session,context_tf,trigger_tf,is_multi_timeframe,entry_ts,entry_price,stop_price,target_surface,target_family,target_tf,natural_rr,rejection_reason
EP-00058,EP-00058-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,-1,A,GLOBEX_EVENING,3,1,True,2026-07-12 19:28:00-04:00,29882.5,29887.5,29881.5,rb,5,0.2,INSUFFICIENT_NATURAL_RR
EP-00059,EP-00059-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,-1,A,GLOBEX_EVENING,3,3,False,2026-07-12 19:30:00-04:00,29888.25,29887.5,,,,,NO_STRUCTURAL_STOP
EP-00060,EP-00060-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,-1,A,GLOBEX_EVENING,1,1,False,2026-07-12 19:29:00-04:00,29889.25,29884.75,,,,,NO_STRUCTURAL_STOP
EP-00062,EP-00062-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,-1,A,GLOBEX_EVENING,1,1,False,2026-07-12 19:36:00-04:00,29882.0,29887.5,29881.5,rb,5,0.0909,INSUFFICIENT_NATURAL_RR
EP-00062,EP-00062-ENTRY_ON_FIRST_CLOSE_OUTSIDE,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,PATTERN_NEAR,,-1,A,GLOBEX_EVENING,1,1,False,2026-07-12 19:38:00-04:00,29883.5,29887.5,29881.5,rb,5,0.5,authorized_pattern_but_target_or_rr_family_mismatch
EP-00063,EP-00063-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,-1,A,GLOBEX_EVENING,3,1,True,2026-07-12 19:40:00-04:00,29892.5,29889.0,,,,,NO_STRUCTURAL_STOP
EP-00064,EP-00064-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,-1,A,GLOBEX_EVENING,3,3,False,2026-07-12 19:42:00-04:00,29894.0,29889.0,,,,,NO_STRUCTURAL_STOP
EP-00065,EP-00065-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,-1,A,GLOBEX_EVENING,1,1,False,2026-07-12 19:41:00-04:00,29894.5,29893.5,,,,,NO_STRUCTURAL_STOP
EP-00066,EP-00066-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,1,A,GLOBEX_EVENING,1,1,False,2026-07-12 19:42:00-04:00,29894.0,29889.5,29896.0,rb,1,0.4444,INSUFFICIENT_NATURAL_RR
EP-00067,EP-00067-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,1,A,GLOBEX_EVENING,3,1,True,2026-07-12 19:46:00-04:00,29880.5,29875.5,29888.0,ifvg,3,1.5,authorized_pattern_but_target_or_rr_family_mismatch
EP-00068,EP-00068-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,1,A,GLOBEX_EVENING,3,3,False,2026-07-12 19:48:00-04:00,29864.0,29875.5,,,,,NO_STRUCTURAL_STOP
EP-00069,EP-00069-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,1,A,GLOBEX_EVENING,3,1,True,2026-07-12 19:49:00-04:00,29859.25,29845.0,29880.5,fvg,1,1.4912,authorized_pattern_but_target_or_rr_family_mismatch
EP-00070,EP-00070-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,1,A,GLOBEX_EVENING,3,3,False,2026-07-12 19:51:00-04:00,29880.5,29845.0,29888.0,ifvg,3,0.2113,INSUFFICIENT_NATURAL_RR
EP-00071,EP-00071-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,1,A,GLOBEX_EVENING,1,1,False,2026-07-12 19:50:00-04:00,29864.0,29857.5,29880.5,fvg,1,2.5385,authorized_pattern_but_target_or_rr_family_mismatch
EP-00071,EP-00071-ENTRY_ON_FIRST_CLOSE_OUTSIDE,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,PATTERN_NEAR,,1,A,GLOBEX_EVENING,1,1,False,2026-07-12 19:51:00-04:00,29880.5,29857.5,29888.0,ifvg,3,0.3261,INSUFFICIENT_NATURAL_RR
EP-00072,EP-00072-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,-1,B,GLOBEX_EVENING,1,1,False,2026-07-12 19:51:00-04:00,29880.5,29888.75,29866.25,rb,3,1.7273,authorized_pattern_but_target_or_rr_family_mismatch
EP-00073,EP-00073-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,-1,A,GLOBEX_EVENING,1,1,False,2026-07-12 19:51:00-04:00,29880.5,29867.0,,,,,NO_STRUCTURAL_STOP
EP-00076,EP-00076-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,-1,A,GLOBEX_EVENING,1,1,False,2026-07-12 19:52:00-04:00,29894.0,29884.5,,,,,NO_STRUCTURAL_STOP
EP-00076,EP-00076-ENTRY_ON_FIRST_CLOSE_OUTSIDE,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,PATTERN_NEAR,,-1,A,GLOBEX_EVENING,1,1,False,2026-07-12 19:53:00-04:00,29879.25,29884.5,29877.75,fvg,1,0.2857,INSUFFICIENT_NATURAL_RR
EP-00076,EP-00076-ENTRY_ON_MINIMAL_WICK_REJECTION,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,PATTERN_NEAR,,-1,A,GLOBEX_EVENING,1,1,False,2026-07-12 19:53:00-04:00,29879.25,29884.5,29877.75,fvg,1,0.2857,INSUFFICIENT_NATURAL_RR
EP-00076,EP-00076-ENTRY_ON_IMMEDIATE_DISPLACEMENT,ENTRY_ON_IMMEDIATE_DISPLACEMENT,IMMEDIATE_DISPLACEMENT,PATTERN_NEAR,,-1,A,GLOBEX_EVENING,1,1,False,2026-07-12 19:53:00-04:00,29879.25,29884.5,29877.75,fvg,1,0.2857,INSUFFICIENT_NATURAL_RR
