episode_id,policy,structure_id,family,timeframe,surface,distance,freshness_bars,availability_seq,natural_rr
EP-00076,NEAREST_VALID_STRUCTURE,RB2-000121,rb,1,29717.0,0.5,0,300,0.0055
EP-00076,BRANCH_SEMANTIC_TARGET,RB2-000121,rb,1,29717.0,0.5,0,300,0.0055
EP-00077,NEAREST_VALID_STRUCTURE,RB2-000132,rb,1,29707.75,1.25,9,321,0.1515
EP-00077,BRANCH_SEMANTIC_TARGET,FVG2-000032,fvg,1,29702.0,7.0,3,327,0.8485
EP-00077,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000032,fvg,1,29702.0,7.0,3,327,0.8485
EP-00078,NEAREST_VALID_STRUCTURE,RB2-003151,rb,3,29717.5,1.5,38,303,0.1875
EP-00078,BRANCH_SEMANTIC_TARGET,RB2-003151,rb,3,29717.5,1.5,38,303,0.1875
EP-00078,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003151,rb,3,29717.5,1.5,38,303,0.1875
EP-00079,NEAREST_VALID_STRUCTURE,RB2-000142,rb,1,29723.0,0.75,8,342,0.0312
EP-00079,BRANCH_SEMANTIC_TARGET,RB2-000142,rb,1,29723.0,0.75,8,342,0.0312
EP-00079,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000142,rb,1,29723.0,0.75,8,342,0.0312
EP-00080,NEAREST_VALID_STRUCTURE,FVG2-000030,fvg,1,29721.25,2.0,50,301,0.0727
EP-00080,BRANCH_SEMANTIC_TARGET,FVG2-000030,fvg,1,29721.25,2.0,50,301,0.0727
EP-00080,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000810,fvg,3,29721.25,2.0,48,303,0.0727
EP-00081,NEAREST_VALID_STRUCTURE,RB2-004815,rb,15,29709.0,0.25,10,345,0.0526
EP-00081,BRANCH_SEMANTIC_TARGET,RB2-004815,rb,15,29709.0,0.25,10,345,0.0526
EP-00081,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004815,rb,15,29709.0,0.25,10,345,0.0526
EP-00082,NEAREST_VALID_STRUCTURE,RB2-004815,rb,15,29709.0,0.25,10,345,0.0333
EP-00082,BRANCH_SEMANTIC_TARGET,RB2-004815,rb,15,29709.0,0.25,10,345,0.0333
EP-00082,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004815,rb,15,29709.0,0.25,10,345,0.0333
EP-00083,NEAREST_VALID_STRUCTURE,RB2-000153,rb,1,29688.0,1.75,0,360,0.0493
EP-00083,BRANCH_SEMANTIC_TARGET,RB2-000153,rb,1,29688.0,1.75,0,360,0.0493
EP-00083,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003163,rb,3,29688.0,1.75,0,360,0.0493
EP-00084,NEAREST_VALID_STRUCTURE,RB2-000157,rb,1,29656.5,5.75,3,366,0.6053
EP-00084,BRANCH_SEMANTIC_TARGET,RB2-000157,rb,1,29656.5,5.75,3,366,0.6053
EP-00084,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000157,rb,1,29656.5,5.75,3,366,0.6053
EP-00085,NEAREST_VALID_STRUCTURE,FVG2-001073,fvg,5,29666.75,0.25,5,370,0.0152
EP-00085,BRANCH_SEMANTIC_TARGET,FVG2-001073,fvg,5,29666.75,0.25,5,370,0.0152
EP-00085,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-001073,fvg,5,29666.75,0.25,5,370,0.0152
EP-00086,NEAREST_VALID_STRUCTURE,FVG2-000813,fvg,3,29671.75,1.5,12,366,0.0741
EP-00086,BRANCH_SEMANTIC_TARGET,FVG2-000813,fvg,3,29671.75,1.5,12,366,0.0741
EP-00086,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000813,fvg,3,29671.75,1.5,12,366,0.0741
EP-00089,NEAREST_VALID_STRUCTURE,FVG2-000037,fvg,1,29650.5,1.0,2,388,0.0132
EP-00089,BRANCH_SEMANTIC_TARGET,IFVG2-000011,ifvg,1,29650.5,1.0,1,389,0.0132
EP-00091,NEAREST_VALID_STRUCTURE,RB2-000171,rb,1,29626.0,2.0,1,404,2.0
EP-00091,BRANCH_SEMANTIC_TARGET,RB2-000171,rb,1,29626.0,2.0,1,404,2.0
