episode_id,role,structure_id
EP-00111,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000820
EP-00112,context/component,IFVG2-000551
EP-00113,context/component,IFVG2-000017
EP-00113,target:NEAREST_VALID_STRUCTURE,FVG2-000039
EP-00113,target:BRANCH_SEMANTIC_TARGET,FVG2-000039
EP-00113,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000039
EP-00114,context/component,IFVG2-000018
EP-00114,target:NEAREST_VALID_STRUCTURE,RB2-000164
EP-00114,target:BRANCH_SEMANTIC_TARGET,FVG2-000038
EP-00114,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000038
EP-00115,context/component,IFVG2-000422
EP-00115,target:NEAREST_VALID_STRUCTURE,RB2-000196
EP-00115,target:BRANCH_SEMANTIC_TARGET,RB2-000196
EP-00115,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,IFVG2-000552
EP-00116,context/component,IFVG2-000423
EP-00116,target:NEAREST_VALID_STRUCTURE,RB2-000196
EP-00116,target:BRANCH_SEMANTIC_TARGET,RB2-000196
EP-00116,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,IFVG2-000552
EP-00117,context/component,IFVG2-000424
EP-00117,target:NEAREST_VALID_STRUCTURE,RB2-000196
EP-00117,target:BRANCH_SEMANTIC_TARGET,RB2-000196
EP-00117,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,IFVG2-000552
EP-00118,context/component,RB2-000195
EP-00118,target:NEAREST_VALID_STRUCTURE,RB2-000157
EP-00118,target:BRANCH_SEMANTIC_TARGET,FVG2-001257
EP-00118,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-001257
EP-00119,context/component,IFVG2-000422
EP-00119,target:NEAREST_VALID_STRUCTURE,RB2-003167
EP-00119,target:BRANCH_SEMANTIC_TARGET,RB2-003167
EP-00119,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003167
EP-00120,context/component,IFVG2-000015
EP-00120,target:NEAREST_VALID_STRUCTURE,FVG2-000045
EP-00120,target:BRANCH_SEMANTIC_TARGET,IFVG2-000553
EP-00120,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,IFVG2-000553
