trigger_id,role,structure_id,family,timeframe,direction,zone_lo,zone_hi,source_ts_et,availability_seq,availability_le_trigger
TRIG-00055,target,FVG2-000003,fvg,1,1,29984.5,29988.25,2026-07-05 19:28:00-04:00,89,True
TRIG-00056,component,IFVG2-000389,ifvg,3,1,29988.5,29998.75,2026-07-05 19:51:00-04:00,111,True
TRIG-00056,component,FVG2-000749,fvg,3,-1,29988.5,29998.75,2026-07-05 19:42:00-04:00,102,True
TRIG-00056,target,RB2-000037,rb,1,1,29998.75,30001.75,2026-07-05 19:34:00-04:00,95,True
TRIG-00057,component,RB2-000039,rb,1,1,29993.75,29998.5,2026-07-05 19:51:00-04:00,112,True
TRIG-00057,target,FVG2-000004,fvg,1,1,29998.0,30002.0,2026-07-05 19:32:00-04:00,93,True
TRIG-00058,component,RB2-000040,rb,1,1,29991.0,29996.5,2026-07-05 19:53:00-04:00,114,True
TRIG-00058,target,RB2-000031,rb,1,-1,29992.0,30008.25,2026-07-05 19:13:00-04:00,74,True
TRIG-00059,component,RB2-000041,rb,1,1,29982.0,29984.75,2026-07-05 19:55:00-04:00,116,True
TRIG-00059,target,FVG2-000003,fvg,1,1,29984.5,29988.25,2026-07-05 19:28:00-04:00,89,True
TRIG-00060,component,RB2-000042,rb,1,-1,29988.75,29991.75,2026-07-05 19:57:00-04:00,118,True
TRIG-00060,target,RB2-000033,rb,1,1,29984.75,29989.75,2026-07-05 19:19:00-04:00,80,True
TRIG-00061,component,RB2-004092,rb,5,1,29963.75,29974.5,2026-07-05 19:50:00-04:00,110,True
TRIG-00061,target,FVG2-000005,fvg,1,-1,29988.0,29999.5,2026-07-05 19:37:00-04:00,98,True
TRIG-00062,component,RB2-004093,rb,5,-1,29991.75,30005.75,2026-07-05 19:55:00-04:00,115,True
TRIG-00062,target,RB2-003083,rb,3,1,29980.0,29986.25,2026-07-05 19:39:00-04:00,99,True
TRIG-00063,component,RB2-003085,rb,3,1,29964.75,29985.0,2026-07-05 19:57:00-04:00,117,True
TRIG-00063,target,FVG2-000005,fvg,1,-1,29988.0,29999.5,2026-07-05 19:37:00-04:00,98,True
TRIG-00064,component,RB2-000043,rb,1,1,29984.25,29989.5,2026-07-05 19:58:00-04:00,119,True
TRIG-00064,target,FVG2-000005,fvg,1,-1,29988.0,29999.5,2026-07-05 19:37:00-04:00,98,True
TRIG-00065,component,RB2-003079,rb,3,1,29926.5,29935.0,2026-07-05 19:12:00-04:00,72,True
TRIG-00065,target,RB2-000030,rb,1,-1,29935.0,29936.5,2026-07-05 19:11:00-04:00,72,True
TRIG-00066,component,RB2-004089,rb,5,1,29926.5,29945.75,2026-07-05 19:15:00-04:00,75,True
TRIG-00066,target,FVG2-000748,fvg,3,-1,29950.5,29954.0,2026-07-05 19:00:00-04:00,60,True
TRIG-00067,component,RB2-000045,rb,1,-1,29938.5,29945.0,2026-07-05 20:03:00-04:00,124,True
TRIG-00067,target,RB2-000028,rb,1,1,29945.0,29949.25,2026-07-05 19:06:00-04:00,67,True
TRIG-00068,component,RB2-000046,rb,1,1,29929.75,29940.0,2026-07-05 20:04:00-04:00,125,True
TRIG-00068,target,RB2-000024,rb,1,1,29941.5,29946.0,2026-07-05 18:58:00-04:00,59,True
TRIG-00069,component,RB2-000047,rb,1,-1,29940.0,29948.0,2026-07-05 20:06:00-04:00,127,True
TRIG-00069,target,RB2-004089,rb,5,1,29926.5,29945.75,2026-07-05 19:15:00-04:00,75,True
TRIG-00070,component,RB2-003086,rb,3,-1,29937.25,29954.0,2026-07-05 20:06:00-04:00,126,True
TRIG-00070,target,RB2-000020,rb,1,1,29954.0,29957.75,2026-07-05 18:52:00-04:00,53,True
TRIG-00071,component,RB2-000048,rb,1,-1,29955.75,29962.75,2026-07-05 20:08:00-04:00,129,True
TRIG-00071,target,RB2-003076,rb,3,-1,29957.25,29962.5,2026-07-05 18:57:00-04:00,57,True
TRIG-00072,component,RB2-000050,rb,1,1,29946.0,29955.0,2026-07-05 20:10:00-04:00,131,True
TRIG-00072,target,RB2-000020,rb,1,1,29954.0,29957.75,2026-07-05 18:52:00-04:00,53,True
TRIG-00073,component,RB2-000051,rb,1,-1,29955.0,29961.0,2026-07-05 20:11:00-04:00,132,True
TRIG-00073,target,RB2-000011,rb,1,1,29959.25,29961.75,2026-07-05 18:38:00-04:00,39,True
TRIG-00074,component,RB2-000049,rb,1,-1,29967.0,29971.5,2026-07-05 20:09:00-04:00,130,True
TRIG-00074,target,RB2-000017,rb,1,1,29970.25,29972.5,2026-07-05 18:48:00-04:00,49,True
TRIG-00075,component,RB2-004094,rb,5,1,29928.5,29950.25,2026-07-05 20:10:00-04:00,130,True
TRIG-00075,target,RB2-000038,rb,1,1,29983.25,29986.0,2026-07-05 19:37:00-04:00,98,True
