variant_id,episode_id,entry_variant,reaction_state,direction,lane,session,context_tf,trigger_tf,match_mode,cross_lookback,match_prev_1_session,match_prev_3_sessions,match_prev_10_sessions,match_prev_20_sessions,entry_price,effective_stop_price,target_price,exit_type,points,gross_r,mfe_points,mae_points,success
EP-43907-ENTRY_ON_DELAYED_DISPLACEMENT,EP-43907,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,-1,A,GLOBEX_EVENING,1,1,EXACT,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,EXACT,EXACT,29380.0,29398.75,29096.25,STOP,-18.75,-1.0,13.25,-19.25,False
EP-43910-ENTRY_ON_DELAYED_DISPLACEMENT,EP-43910,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,-1,A,GLOBEX_EVENING,1,1,EXACT,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,EXACT,EXACT,29378.0,29388.5,29096.25,STOP,-10.5,-1.0,11.25,-13.25,False
EP-43932-ENTRY_ON_DELAYED_DISPLACEMENT,EP-43932,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,-1,A,GLOBEX_EVENING,1,1,EXACT,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,EXACT,EXACT,29368.0,29399.25,29096.25,STOP,-31.25,-1.0,40.75,-45.5,False
EP-43960-ENTRY_ON_TAP,EP-43960,ENTRY_ON_TAP,TAP_ONLY,-1,A,GLOBEX_EVENING,3,3,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,29339.25,29358.25,29096.25,STOP,-19.0,-1.0,4.25,-24.75,False
EP-44005-ENTRY_ON_DELAYED_DISPLACEMENT,EP-44005,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,-1,C,ASIA,1,1,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,29337.25,29374.5,29096.25,STOP,-37.25,-1.0,11.5,-94.0,False
EP-44210-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-44210,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,A,ASIA,3,3,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,29334.0,29369.0,29096.25,STOP,-35.0,-1.0,30.5,-43.75,False
EP-44211-ENTRY_ON_DELAYED_DISPLACEMENT,EP-44211,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,-1,A,ASIA,1,1,EXACT,TWENTY_SESSION_ONLY,,,,EXACT,29335.0,29364.25,29096.25,STOP,-29.25,-1.0,31.5,-31.5,False
EP-44220-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-44220,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,A,ASIA,1,1,EXACT,TWENTY_SESSION_ONLY,,,,EXACT,29313.25,29326.4625,29096.25,STOP,-13.2125,-1.0,9.75,-32.0,False
EP-44220-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-44220,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,-1,A,ASIA,1,1,EXACT,TWENTY_SESSION_ONLY,,,,EXACT,29313.25,29326.4625,29096.25,STOP,-13.2125,-1.0,9.75,-32.0,False
EP-44220-ENTRY_ON_IMMEDIATE_DISPLACEMENT,EP-44220,ENTRY_ON_IMMEDIATE_DISPLACEMENT,IMMEDIATE_DISPLACEMENT,-1,A,ASIA,1,1,EXACT,TWENTY_SESSION_ONLY,,,,EXACT,29313.25,29326.4625,29096.25,STOP,-13.2125,-1.0,9.75,-32.0,False
