candidate_id,episode_id,branch_id,branch_state,direction,entry_mode,continuation_or_fade,exact_graph,reduced_graph,entry_seq,entry_price,structural_stop,structural_target,natural_rr,executed_rr,effective_sample,unique_sessions,shrunk_expected_R,uncertainty,qualification,outcome
SETUP-029831,EP-033405,BR-003283,FADE,short,formation_close,fade,SWING_HIGH_SWEEP_ABOVE -> FORMATION_CLOSE_SHORT_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4481,22995.25,22997.25,22994.25,0.5,0.5,6,6,-0.1123,0.3483,RECORDED_NOT_ACTIVATED,WIN
SETUP-029884,EP-033407,BR-003284,FADE,long,formation_close,fade,SWING_HIGH_SWEEP_BELOW -> FORMATION_CLOSE_LONG_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4482,22994.5,22993.25,22995.25,0.6,0.6,6,6,-0.1106,0.3492,RECORDED_NOT_ACTIVATED,WIN
SETUP-029942,EP-033408,BR-003285,FADE,long,formation_close,fade,SWING_HIGH_SWEEP_BELOW -> FORMATION_CLOSE_LONG_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4482,22994.5,22993.25,22995.25,0.6,0.6,6,6,-0.1106,0.3492,RECORDED_NOT_ACTIVATED,WIN
SETUP-034500,EP-033409,BR-003286,FADE,short,formation_close,fade,SWING_LOW_SWEEP_ABOVE -> FORMATION_CLOSE_SHORT_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4482,22994.5,22996.0,22993.5,0.6667,0.6667,6,6,-0.0348,0.3501,RECORDED_NOT_ACTIVATED,LOSS
SETUP-003315,EP-033406,BR-003287,CONTINUATION,short,first_touch,continuation,BEARISH_RB_CONFIRMED -> BEARISH_RB_REJECTION -> FIRST_TOUCH_SHORT_TRIGGER,STRUCTURAL_ZONE_INTERACTION -> ENTRY_TRIGGER,4483,22995.25,22997.25,22994.25,0.5,0.5,4,4,-0.0289,0.4572,RECORDED_NOT_ACTIVATED,WIN
SETUP-029885,EP-033410,BR-003288,FADE,long,formation_close,fade,SWING_HIGH_SWEEP_BELOW -> FORMATION_CLOSE_LONG_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4483,22994.5,22993.5,22995.25,0.75,0.75,6,6,-0.1106,0.3492,RECORDED_NOT_ACTIVATED,WIN
SETUP-029943,EP-033411,BR-003289,FADE,long,formation_close,fade,SWING_HIGH_SWEEP_BELOW -> FORMATION_CLOSE_LONG_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4483,22994.5,22993.5,22995.25,0.75,0.75,6,6,-0.1106,0.3492,RECORDED_NOT_ACTIVATED,WIN
SETUP-029886,EP-033413,BR-003290,FADE,long,formation_close,fade,SWING_HIGH_SWEEP_BELOW -> FORMATION_CLOSE_LONG_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4484,22995.0,22993.5,22995.75,0.5,0.5,6,6,-0.1165,0.3492,RECORDED_NOT_ACTIVATED,WIN
SETUP-029944,EP-033414,BR-003291,FADE,long,formation_close,fade,SWING_HIGH_SWEEP_BELOW -> FORMATION_CLOSE_LONG_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4484,22995.0,22993.5,22995.75,0.5,0.5,6,6,-0.1165,0.3492,RECORDED_NOT_ACTIVATED,WIN
SETUP-003316,EP-033417,BR-003292,CONTINUATION,long,first_touch,continuation,BULLISH_RB_CONFIRMED -> FIRST_TOUCH_LONG_TRIGGER,STRUCTURAL_ZONE_INTERACTION -> ENTRY_TRIGGER,4490,22995.0,22993.5,22995.75,0.5,0.5,4,4,0.0942,0.4151,RECORDED_NOT_ACTIVATED,WIN
SETUP-043919,EP-033436,BR-003293,CONTINUATION,long,retest,continuation,SWING_LOW_SWEEP_BELOW -> RETEST_LONG_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4492,22994.0,22992.5,22995.25,0.8333,0.8333,6,6,0.2205,0.27,RECORDED_NOT_ACTIVATED,WIN
SETUP-034734,EP-033438,BR-003294,FADE,long,formation_close,fade,SWING_HIGH_SWEEP_BELOW -> FORMATION_CLOSE_LONG_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4495,22997.0,22996.0,22997.75,0.75,0.75,6,6,-0.1093,0.3492,RECORDED_NOT_ACTIVATED,WIN
SETUP-042355,EP-033451,BR-003295,CONTINUATION,long,formation_close,continuation,VWAP_VWAP_BOUNCE_UP -> FORMATION_CLOSE_LONG_TRIGGER,VWAP_INTERACTION -> ENTRY_TRIGGER,4499,22996.5,22995.63768115942,22997.0,0.5798,0.5798,4,4,0.0932,0.4555,QUALIFIED_PENDING_TRIGGER,LOSS
