branch_id,episode_id,hypothesis_id,terminal_status,terminal_reason,n_events
GBR-012367,GEP-002763,H_liquidity_break_failed_fade,EXPIRED,expiry,1
GBR-012369,GEP-002764,H_liquidity_break_failed_fade,EXPIRED,expiry,1
GBR-012371,GEP-002765,H_fvg_first_touch,EXPIRED,expiry,1
GBR-012372,GEP-002765,H_fvg_first_fill,EXPIRED,expiry,1
GBR-012373,GEP-002765,H_fvg_midpoint,EXPIRED,expiry,1
GBR-012374,GEP-002765,H_fvg_full_fill,EXPIRED,expiry,1
GBR-012376,GEP-002766,H_fvg_first_touch,EXPIRED,expiry,1
GBR-012377,GEP-002766,H_fvg_first_fill,EXPIRED,expiry,1
GBR-012378,GEP-002766,H_fvg_midpoint,EXPIRED,expiry,1
GBR-012379,GEP-002766,H_fvg_full_fill,EXPIRED,expiry,1
GBR-012384,GEP-002768,H_fvg_first_touch,EXPIRED,expiry,1
GBR-012385,GEP-002768,H_fvg_first_fill,EXPIRED,expiry,1
GBR-012386,GEP-002768,H_fvg_midpoint,EXPIRED,expiry,1
GBR-012387,GEP-002768,H_fvg_full_fill,EXPIRED,expiry,1
GBR-012389,GEP-002721,H_liquidity_sweep_reclaim_fade,EXPIRED,expiry,1
GBR-012393,GEP-002769,H_ifvg_retest,EXPIRED,expiry,3
GBR-012397,GEP-002770,H_fvg_first_touch,EXPIRED,expiry,1
GBR-012398,GEP-002770,H_fvg_first_fill,EXPIRED,expiry,1
GBR-012399,GEP-002770,H_fvg_midpoint,EXPIRED,expiry,1
GBR-012400,GEP-002770,H_fvg_full_fill,EXPIRED,expiry,1
GBR-012404,GEP-002771,H_fvg_first_touch,EXPIRED,expiry,1
GBR-012405,GEP-002771,H_fvg_first_fill,EXPIRED,expiry,1
GBR-012406,GEP-002771,H_fvg_midpoint,EXPIRED,expiry,1
GBR-012407,GEP-002771,H_fvg_full_fill,EXPIRED,expiry,1
GBR-012413,GEP-002720,H_liquidity_sweep_reclaim_fade,EXPIRED,expiry,1
GBR-012416,GEP-002772,H_liquidity_sweep_reclaim_fade,EXPIRED,expiry,1
GBR-012419,GEP-002773,H_liquidity_sweep_reclaim_fade,EXPIRED,expiry,1
GBR-012461,GEP-002783,H_liquidity_break_failed_fade,EXPIRED,expiry,1
GBR-012490,GEP-002790,H_liquidity_break_failed_fade,EXPIRED,expiry,1
GBR-012495,GEP-002792,H_liquidity_break_failed_fade,EXPIRED,expiry,1
GBR-012496,GEP-002793,H_rb_reaction_continuation,EXPIRED,expiry,1
GBR-012497,GEP-002793,H_rb_fvg_fill_continuation,EXPIRED,expiry,1
GBR-012498,GEP-002793,H_rb_unresolved_fade,EXPIRED,expiry,1
GBR-012501,GEP-002794,H_fvg_no_fill_continuation,EXPIRED,expiry,1
GBR-012502,GEP-002794,H_fvg_first_touch,EXPIRED,expiry,1
GBR-012503,GEP-002794,H_fvg_first_fill,EXPIRED,expiry,1
GBR-012504,GEP-002794,H_fvg_midpoint,EXPIRED,expiry,1
GBR-012505,GEP-002794,H_fvg_full_fill,EXPIRED,expiry,1
GBR-012507,GEP-002795,H_liquidity_break_failed_fade,EXPIRED,expiry,1
GBR-012519,GEP-002797,H_liquidity_break_failed_fade,EXPIRED,expiry,1
GBR-012521,GEP-002798,H_liquidity_break_failed_fade,EXPIRED,expiry,1
GBR-012523,GEP-002792,H_liquidity_sweep_reclaim_fade,EXPIRED,expiry,1
GBR-012524,GEP-002792,H_liquidity_sweep_accept_continuation,EXPIRED,expiry,1
