instrument,tf,direction,leg_len,param_version,start_open_et,end_open_et,availability_et,net_directional_move,n_bodies_aligned,prop_bodies_aligned,median_aligned_body,median_body_pctile_prev10,median_body_pctile_prev20,median_body_pctile_prev40,adjacent_overlap,terminal_close_location,path_efficiency,total_distance,created_fvg,end_index
NQ,1m,bear,1,phase1-v1.0.0,2026-07-08 04:04:00-04:00,2026-07-08 04:04:00-04:00,2026-07-08 04:05:00-04:00,10.0,1,1.0,10.0,90.0,80.0,72.5,,0.8703703703703703,0.7407407407407407,13.5,False,3244
NQ,1m,bull,2,phase1-v1.0.0,2026-07-08 04:03:00-04:00,2026-07-08 04:04:00-04:00,2026-07-08 04:05:00-04:00,-8.5,1,0.5,7.25,80.0,73.75,66.875,4.25,0.12962962962962962,0.32075471698113206,26.5,False,3244
NQ,1m,bear,2,phase1-v1.0.0,2026-07-08 04:03:00-04:00,2026-07-08 04:04:00-04:00,2026-07-08 04:05:00-04:00,8.5,1,0.5,10.0,80.0,73.75,66.875,4.25,0.8703703703703703,0.32075471698113206,26.5,False,3244
NQ,1m,bull,3,phase1-v1.0.0,2026-07-08 04:02:00-04:00,2026-07-08 04:04:00-04:00,2026-07-08 04:05:00-04:00,-15.0,1,0.3333333333333333,7.25,70.0,67.5,61.25,7.625,0.12962962962962962,0.3973509933774834,37.75,False,3244
NQ,1m,bear,3,phase1-v1.0.0,2026-07-08 04:02:00-04:00,2026-07-08 04:04:00-04:00,2026-07-08 04:05:00-04:00,15.0,2,0.6666666666666666,7.375,70.0,67.5,61.25,7.625,0.8703703703703703,0.3973509933774834,37.75,False,3244
NQ,1m,bull,1,phase1-v1.0.0,2026-07-08 04:05:00-04:00,2026-07-08 04:05:00-04:00,2026-07-08 04:06:00-04:00,4.75,1,1.0,4.75,45.0,42.5,40.0,,0.6097560975609756,0.4634146341463415,10.25,False,3245
NQ,1m,bear,1,phase1-v1.0.0,2026-07-08 04:05:00-04:00,2026-07-08 04:05:00-04:00,2026-07-08 04:06:00-04:00,-4.75,0,0.0,0.0,45.0,42.5,40.0,,0.3902439024390244,0.4634146341463415,10.25,False,3245
NQ,1m,bull,2,phase1-v1.0.0,2026-07-08 04:04:00-04:00,2026-07-08 04:05:00-04:00,2026-07-08 04:06:00-04:00,-3.5,1,0.5,4.75,67.5,61.25,56.25,10.25,0.6097560975609756,0.14736842105263157,23.75,False,3245
NQ,1m,bear,2,phase1-v1.0.0,2026-07-08 04:04:00-04:00,2026-07-08 04:05:00-04:00,2026-07-08 04:06:00-04:00,3.5,1,0.5,10.0,67.5,61.25,56.25,10.25,0.3902439024390244,0.14736842105263157,23.75,False,3245
NQ,1m,bull,3,phase1-v1.0.0,2026-07-08 04:03:00-04:00,2026-07-08 04:05:00-04:00,2026-07-08 04:06:00-04:00,-2.0,2,0.6666666666666666,6.0,70.0,67.5,61.25,7.25,0.6097560975609756,0.05442176870748299,36.75,False,3245
NQ,1m,bear,3,phase1-v1.0.0,2026-07-08 04:03:00-04:00,2026-07-08 04:05:00-04:00,2026-07-08 04:06:00-04:00,2.0,1,0.3333333333333333,10.0,70.0,67.5,61.25,7.25,0.3902439024390244,0.05442176870748299,36.75,False,3245
NQ,1m,bull,1,phase1-v1.0.0,2026-07-08 04:06:00-04:00,2026-07-08 04:06:00-04:00,2026-07-08 04:07:00-04:00,-11.25,0,0.0,0.0,90.0,85.0,77.5,,0.014285714285714285,0.6428571428571429,17.5,False,3246
NQ,1m,bear,1,phase1-v1.0.0,2026-07-08 04:06:00-04:00,2026-07-08 04:06:00-04:00,2026-07-08 04:07:00-04:00,11.25,1,1.0,11.25,90.0,85.0,77.5,,0.9857142857142858,0.6428571428571429,17.5,False,3246
