week,variant_id,trigger_ts,structure_id,activation_ts,deactivation_ts,deactivation_reason,exclusion_reason
historical,EP-01286-ENTRY_ON_NEW_IFVG,2026-06-03 12:42:00-04:00,IFVG2-004194,2026-06-02 02:58:00-04:00,2026-06-02 10:00:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT,inactive_or_traversed
historical,EP-01286-ENTRY_ON_NEW_IFVG,2026-06-03 12:42:00-04:00,IFVG2-000051,2026-06-03 12:35:00-04:00,2026-06-03 12:48:00-04:00,DEACTIVATED_CLOSE_THROUGH,component
historical,EP-01288-ENTRY_ON_TAP,2026-06-03 12:42:00-04:00,IFVG2-004194,2026-06-02 02:58:00-04:00,2026-06-02 10:00:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT,inactive_or_traversed
historical,EP-01290-ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-03 12:42:00-04:00,IFVG2-004194,2026-06-02 02:58:00-04:00,2026-06-02 10:00:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT,inactive_or_traversed
historical,EP-01290-ENTRY_ON_IMMEDIATE_DISPLACEMENT,2026-06-03 12:42:00-04:00,IFVG2-004194,2026-06-02 02:58:00-04:00,2026-06-02 10:00:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT,inactive_or_traversed
historical,EP-01290-ENTRY_ON_NEW_IFVG,2026-06-03 12:42:00-04:00,IFVG2-004194,2026-06-02 02:58:00-04:00,2026-06-02 10:00:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT,inactive_or_traversed
historical,EP-01409-ENTRY_ON_TAP,2026-06-03 15:50:00-04:00,IFVG2-003433,2026-06-03 14:40:00-04:00,2026-06-03 15:39:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT,same_direction
historical,EP-01410-ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-03 15:52:00-04:00,IFVG2-000041,2026-06-03 10:50:00-04:00,2026-06-03 10:51:00-04:00,DEACTIVATED_CLOSE_THROUGH,same_direction
historical,EP-01410-ENTRY_ON_STRONG_REJECTION,2026-06-03 15:52:00-04:00,IFVG2-000041,2026-06-03 10:50:00-04:00,2026-06-03 10:51:00-04:00,DEACTIVATED_CLOSE_THROUGH,same_direction
historical,EP-01411-ENTRY_ON_TAP,2026-06-03 15:52:00-04:00,IFVG2-000041,2026-06-03 10:50:00-04:00,2026-06-03 10:51:00-04:00,DEACTIVATED_CLOSE_THROUGH,same_direction
