timeframe,source_seq,source_ts,source_ohlc,lower_wick,upper_wick,wick_body_ratio,reason
1,4862,2026-07-16 06:02:00-04:00,"(29524.5, 29529.75, 29516.0, 29521.25)",5.25,5.25,1.6153846153846154,equal_wick_ambiguous
1,4866,2026-07-16 06:06:00-04:00,"(29540.0, 29549.75, 29538.25, 29548.0)",1.75,1.75,0.21875,equal_wick_ambiguous
1,4886,2026-07-16 06:26:00-04:00,"(29516.5, 29523.75, 29514.75, 29522.0)",1.75,1.75,0.3181818181818182,equal_wick_ambiguous
1,5014,2026-07-16 08:34:00-04:00,"(29413.75, 29420.0, 29410.5, 29416.75)",3.25,3.25,1.0833333333333333,equal_wick_ambiguous
1,5028,2026-07-16 08:48:00-04:00,"(29395.0, 29398.0, 29392.75, 29395.75)",2.25,2.25,3.0,equal_wick_ambiguous
1,5168,2026-07-16 11:08:00-04:00,"(29372.0, 29378.0, 29366.0, 29372.0)",6.0,6.0,24.0,equal_wick_ambiguous
1,5274,2026-07-16 12:54:00-04:00,"(29317.75, 29327.25, 29312.5, 29322.0)",5.25,5.25,1.2352941176470589,equal_wick_ambiguous
1,5276,2026-07-16 12:56:00-04:00,"(29344.25, 29352.5, 29332.75, 29341.0)",8.25,8.25,2.5384615384615383,equal_wick_ambiguous
1,5347,2026-07-16 14:07:00-04:00,"(29239.75, 29250.0, 29226.25, 29236.5)",10.25,10.25,3.1538461538461537,equal_wick_ambiguous
1,5516,2026-07-16 16:56:00-04:00,"(29174.75, 29175.5, 29172.5, 29173.25)",0.75,0.75,0.5,equal_wick_ambiguous
1,5576,2026-07-16 18:56:00-04:00,"(29123.5, 29130.25, 29120.0, 29126.75)",3.5,3.5,1.0769230769230769,equal_wick_ambiguous
1,5584,2026-07-16 19:04:00-04:00,"(29139.25, 29143.5, 29130.75, 29135.0)",4.25,4.25,1.0,equal_wick_ambiguous
1,5633,2026-07-16 19:53:00-04:00,"(29104.25, 29110.75, 29096.0, 29102.5)",6.5,6.5,3.7142857142857144,equal_wick_ambiguous
1,5643,2026-07-16 20:03:00-04:00,"(29111.5, 29117.75, 29107.75, 29114.0)",3.75,3.75,1.5,equal_wick_ambiguous
1,5755,2026-07-16 21:55:00-04:00,"(28953.5, 28960.5, 28950.0, 28957.0)",3.5,3.5,1.0,equal_wick_ambiguous
1,5795,2026-07-16 22:35:00-04:00,"(28912.5, 28917.0, 28911.0, 28915.5)",1.5,1.5,0.5,equal_wick_ambiguous
1,5819,2026-07-16 22:59:00-04:00,"(28929.75, 28934.25, 28920.5, 28925.0)",4.5,4.5,0.9473684210526315,equal_wick_ambiguous
1,5839,2026-07-16 23:19:00-04:00,"(28977.25, 28983.0, 28975.75, 28981.5)",1.5,1.5,0.35294117647058826,equal_wick_ambiguous
1,5851,2026-07-16 23:31:00-04:00,"(28996.75, 28999.75, 28987.0, 28990.0)",3.0,3.0,0.4444444444444444,equal_wick_ambiguous
