id,timeframe,direction,source_seq,source_ts_et,source_open,source_high,source_low,source_close,relevant_wick_length,opposite_wick_length,real_body_length,body_was_zero,total_range,wick_body_ratio,wick_range_ratio,dominant_wick_ratio,atr_at_source_close,zone_lo,zone_hi,mfe_after_1,mfe_after_2,mfe_after_3,mfe_after_1_atr,mfe_after_2_atr,mfe_after_3_atr,activated,activation_candle_number,activation_ts_et,first_tap_ts_et,first_tap_was_activated,n_taps,max_penetration,deactivation_ts_et,deactivation_reason_final
RB2-002892,1,bullish,6402,2026-07-17 08:42:00-04:00,28657.5,28659.75,28650.75,28659.75,6.75,0.0,2.25,False,9.0,3.0,0.75,27.0,12.276620490328378,28650.75,28657.5,8.5,26.25,,0.6923729544866496,2.1382105947381826,,True,2,2026-07-17 08:44:00-04:00,2026-07-17 08:43:00-04:00,False,3,5.25,2026-07-17 08:50:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-002893,1,bullish,6405,2026-07-17 08:45:00-04:00,28675.25,28679.25,28667.75,28678.25,7.5,1.0,3.0,False,11.5,2.5,0.6521739130434783,7.5,12.883376536899219,28667.75,28675.25,15.5,15.5,15.5,1.2031007520122168,1.2031007520122168,1.2031007520122168,False,,,2026-07-17 08:46:00-04:00,False,2,1.25,2026-07-17 08:48:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-002894,1,bearish,6409,2026-07-17 08:49:00-04:00,28667.5,28671.5,28651.5,28652.25,4.0,0.75,15.25,False,20.0,0.26229508196721313,0.2,5.333333333333333,13.751948856475911,28667.5,28671.5,22.0,,,1.599773256111261,,,True,1,2026-07-17 08:50:00-04:00,2026-07-17 08:53:00-04:00,True,1,1.75,2026-07-17 08:53:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-002895,1,bearish,6411,2026-07-17 08:51:00-04:00,28655.0,28662.0,28653.0,28658.0,4.0,2.0,3.0,False,9.0,1.3333333333333333,0.4444444444444444,2.0,13.147088554818513,28658.0,28662.0,6.0,6.0,,0.45637480686177867,0.45637480686177867,,False,,,2026-07-17 08:52:00-04:00,False,2,11.25,2026-07-17 08:53:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-002896,1,bullish,6412,2026-07-17 08:52:00-04:00,28658.25,28662.0,28652.0,28658.5,6.25,3.5,0.25,False,10.0,25.0,0.625,1.7857142857142858,12.92229651518862,28652.0,28658.25,15.0,15.0,16.0,1.1607843839807643,1.1607843839807643,1.2381700095794819,False,,,2026-07-17 08:53:00-04:00,False,2,7.25,2026-07-17 09:00:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-002897,1,bullish,6414,2026-07-17 08:54:00-04:00,28671.0,28672.25,28665.75,28671.5,5.25,0.75,0.5,False,6.5,10.5,0.8076923076923077,7.0,12.750602607484067,28665.75,28671.0,3.25,,,0.25488991383767123,,,False,,,2026-07-17 08:55:00-04:00,False,1,5.75,2026-07-17 08:55:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-002898,1,bullish,6417,2026-07-17 08:57:00-04:00,28683.5,28684.0,28677.75,28681.75,4.0,0.5,1.75,False,6.25,2.2857142857142856,0.64,8.0,12.7599576999426,28677.75,28681.75,0.5,,,0.039185082878625,,,False,,,2026-07-17 08:58:00-04:00,False,1,13.75,2026-07-17 08:58:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-002899,1,bullish,6418,2026-07-17 08:58:00-04:00,28679.75,28682.25,28664.0,28667.0,3.0,2.5,12.75,False,18.25,0.23529411764705882,0.1643835616438356,1.2,13.152103578518128,28664.0,28667.0,6.25,,,0.4752091528695366,,,False,,,2026-07-17 08:59:00-04:00,False,1,1.0,2026-07-17 08:59:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-002900,1,bearish,6419,2026-07-17 08:59:00-04:00,28668.25,28673.25,28663.0,28664.5,5.0,1.5,3.75,False,10.25,1.3333333333333333,0.4878048780487805,3.3333333333333335,12.944810465766833,28668.25,28673.25,23.5,,,1.8153993109552948,,,True,1,2026-07-17 09:00:00-04:00,2026-07-17 09:31:00-04:00,True,1,9.5,2026-07-17 09:31:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-002901,1,bullish,6421,2026-07-17 09:01:00-04:00,28656.0,28656.5,28636.5,28645.0,8.5,0.5,11.0,False,20.0,0.7727272727272727,0.425,17.0,13.983025350584667,28636.5,28645.0,2.5,2.5,2.5,0.1787882047925679,0.1787882047925679,0.1787882047925679,False,,,2026-07-17 09:02:00-04:00,False,5,3.25,2026-07-17 09:06:00-04:00,DEACTIVATED_CLOSE_THROUGH
