family,id,timeframe,event,ts_et,deactivation_reason
RB,RB2-004080,1,SOURCE,2026-07-14 20:34:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004080,1,ACTIVATED,2026-07-14 20:36:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004080,1,FIRST_TAP,2026-07-14 20:51:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004080,1,DEACTIVATED,2026-07-14 20:52:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004081,1,SOURCE,2026-07-14 20:36:00-04:00,
RB,RB2-004082,1,SOURCE,2026-07-14 20:39:00-04:00,
RB,RB2-004083,1,SOURCE,2026-07-14 20:39:00-04:00,
RB,RB2-004084,1,SOURCE,2026-07-14 20:40:00-04:00,
RB,RB2-004085,1,SOURCE,2026-07-14 20:43:00-04:00,EXPIRED_ACTIVE_8H
RB,RB2-004085,1,ACTIVATED,2026-07-14 20:45:00-04:00,EXPIRED_ACTIVE_8H
RB,RB2-004085,1,FIRST_TAP,2026-07-14 20:44:00-04:00,EXPIRED_ACTIVE_8H
RB,RB2-004085,1,DEACTIVATED,2026-07-15 04:45:00-04:00,EXPIRED_ACTIVE_8H
RB,RB2-004086,1,SOURCE,2026-07-14 20:45:00-04:00,EXPIRED_UNTOUCHED_8H
RB,RB2-004086,1,ACTIVATED,2026-07-14 20:46:00-04:00,EXPIRED_UNTOUCHED_8H
RB,RB2-004086,1,DEACTIVATED,2026-07-15 04:46:00-04:00,EXPIRED_UNTOUCHED_8H
RB,RB2-004087,1,SOURCE,2026-07-14 20:45:00-04:00,
RB,RB2-004088,1,SOURCE,2026-07-14 20:46:00-04:00,
RB,RB2-004089,1,SOURCE,2026-07-14 20:46:00-04:00,
RB,RB2-004090,1,SOURCE,2026-07-14 20:47:00-04:00,
RB,RB2-004091,1,SOURCE,2026-07-14 20:47:00-04:00,
RB,RB2-004092,1,SOURCE,2026-07-14 20:48:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004092,1,ACTIVATED,2026-07-14 20:51:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004092,1,FIRST_TAP,2026-07-14 20:49:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004092,1,DEACTIVATED,2026-07-14 20:49:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004093,1,SOURCE,2026-07-14 20:48:00-04:00,
RB,RB2-004094,1,SOURCE,2026-07-14 20:49:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004094,1,ACTIVATED,2026-07-14 20:51:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004094,1,FIRST_TAP,2026-07-14 20:50:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004094,1,DEACTIVATED,2026-07-14 21:03:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004095,1,SOURCE,2026-07-14 20:49:00-04:00,
RB,RB2-004096,1,SOURCE,2026-07-14 20:50:00-04:00,
RB,RB2-004097,1,SOURCE,2026-07-14 20:51:00-04:00,
RB,RB2-004098,1,SOURCE,2026-07-14 20:51:00-04:00,
RB,RB2-004099,1,SOURCE,2026-07-14 20:52:00-04:00,
RB,RB2-004100,1,SOURCE,2026-07-14 20:52:00-04:00,
RB,RB2-004101,1,SOURCE,2026-07-14 20:53:00-04:00,
RB,RB2-004102,1,SOURCE,2026-07-14 20:53:00-04:00,
RB,RB2-004103,1,SOURCE,2026-07-14 20:54:00-04:00,
RB,RB2-004104,1,SOURCE,2026-07-14 20:54:00-04:00,
RB,RB2-004105,1,SOURCE,2026-07-14 20:55:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004105,1,ACTIVATED,2026-07-14 20:58:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004105,1,FIRST_TAP,2026-07-14 21:00:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004105,1,DEACTIVATED,2026-07-14 21:00:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004106,1,SOURCE,2026-07-14 20:55:00-04:00,
RB,RB2-004107,1,SOURCE,2026-07-14 20:56:00-04:00,
RB,RB2-004108,1,SOURCE,2026-07-14 20:56:00-04:00,
RB,RB2-004109,1,SOURCE,2026-07-14 20:57:00-04:00,
