branch_id,episode_id,hypothesis_id,terminal_status,terminal_reason,n_events
GBR-368245,GEP-082018,H_rb_reaction_continuation,INVALIDATED,opposing_move,2
GBR-368246,GEP-082018,H_rb_fvg_fill_continuation,INVALIDATED,opposing_move,2
GBR-368247,GEP-082018,H_rb_unresolved_fade,INVALIDATED,origin_invalidated,2
GBR-368248,GEP-082012,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-368249,GEP-082012,H_liquidity_sweep_reclaim_fade,EMITTED,sweep_reclaim_fade,2
GBR-368250,GEP-082012,H_liquidity_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-368251,GEP-082019,H_liquidity_break_accept_continuation,EMITTED,break_accept_cont,2
GBR-368252,GEP-082019,H_liquidity_break_failed_fade,EMITTED,break_failed_fade,2
GBR-368253,GEP-082020,H_rb_reaction_continuation,INVALIDATED,origin_invalidated,2
GBR-368254,GEP-082020,H_rb_fvg_fill_continuation,INVALIDATED,origin_invalidated,2
GBR-368255,GEP-082020,H_rb_unresolved_fade,INVALIDATED,origin_invalidated,2
GBR-368256,GEP-082021,H_rb_reaction_continuation,INVALIDATED,opposing_move,2
GBR-368257,GEP-082021,H_rb_fvg_fill_continuation,INVALIDATED,opposing_move,2
GBR-368258,GEP-082021,H_rb_unresolved_fade,INVALIDATED,origin_invalidated,2
GBR-368259,GEP-082019,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-368260,GEP-082019,H_liquidity_sweep_reclaim_fade,EMITTED,sweep_reclaim_fade,2
GBR-368261,GEP-082019,H_liquidity_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-368262,GEP-082022,H_ifvg_immediate,EMITTED,ifvg_activation,3
GBR-368263,GEP-082022,H_ifvg_next_bar,EMITTED,ifvg_activation,3
GBR-368264,GEP-082022,H_ifvg_retest,EMITTED,ifvg_retest,4
GBR-368265,GEP-082023,H_liquidity_break_accept_continuation,EMITTED,break_accept_cont,2
GBR-368266,GEP-082023,H_liquidity_break_failed_fade,EMITTED,break_failed_fade,2
GBR-368267,GEP-082024,H_liquidity_break_accept_continuation,EMITTED,break_accept_cont,2
GBR-368268,GEP-082024,H_liquidity_break_failed_fade,EMITTED,break_failed_fade,2
GBR-368269,GEP-082025,H_fvg_formation_close,EMITTED,fvg_formation,1
GBR-368270,GEP-082025,H_fvg_next_bar,EMITTED,fvg_formation,1
GBR-368271,GEP-082025,H_fvg_no_fill_continuation,INVALIDATED,context_invalidated,1
