config_id,grammar,desc,status,trades,per_week,pf0,pf1,pf2,net0,net1,net2,mdd1,mdd2,posyr0,posyr1,posyr2
D074_V,D,AMD tf1m L24 w1.0 exc0.25 mw6 opposite rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D075,D,AMD tf1m L24 w1.0 exc0.25 mw6 opposite rbw12,TOO_FEW,0,,,,,,,,,,,,
D075_V,D,AMD tf1m L24 w1.0 exc0.25 mw6 opposite rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D076,D,AMD tf1m L24 w1.0 exc0.25 mw12 midpoint rbw6,TOO_FEW,0,,,,,,,,,,,,
D076_V,D,AMD tf1m L24 w1.0 exc0.25 mw12 midpoint rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D077,D,AMD tf1m L24 w1.0 exc0.25 mw12 midpoint rbw12,TOO_FEW,0,,,,,,,,,,,,
D077_V,D,AMD tf1m L24 w1.0 exc0.25 mw12 midpoint rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D078,D,AMD tf1m L24 w1.0 exc0.25 mw12 opposite rbw6,TOO_FEW,0,,,,,,,,,,,,
D078_V,D,AMD tf1m L24 w1.0 exc0.25 mw12 opposite rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D079,D,AMD tf1m L24 w1.0 exc0.25 mw12 opposite rbw12,TOO_FEW,0,,,,,,,,,,,,
D079_V,D,AMD tf1m L24 w1.0 exc0.25 mw12 opposite rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D080,D,AMD tf1m L24 w1.5 exc0.0 mw6 midpoint rbw6,TOO_FEW,1,,,,,,,,,,,,
D080_V,D,AMD tf1m L24 w1.5 exc0.0 mw6 midpoint rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D081,D,AMD tf1m L24 w1.5 exc0.0 mw6 midpoint rbw12,TOO_FEW,3,,,,,,,,,,,,
D081_V,D,AMD tf1m L24 w1.5 exc0.0 mw6 midpoint rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D082,D,AMD tf1m L24 w1.5 exc0.0 mw6 opposite rbw6,TOO_FEW,1,,,,,,,,,,,,
D082_V,D,AMD tf1m L24 w1.5 exc0.0 mw6 opposite rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
