amd,tpo,vwap,n,wk,pf1,pf2,net1,net2,mdd1,mdd2,py1,py2
AMD13,above_POC,none,1569,3.7690459849004805,1.1963718957709581,1.1042466275461098,164.69715671730697,91.31241343461392,-40.71070485989634,-55.93570401780373,5,5
AMD13,above_POC,K1_930,464,1.1146190803019904,1.1535390742096343,1.0415871736616742,34.81119347664416,9.916486953288334,-24.657023070564946,-30.244338000239054,6,5
AMD13,gt1ATR_POC,none,3023,7.261839396019218,1.2328399693681564,1.1402543076386171,381.57491822184505,240.21743644369002,-34.023653681799146,-38.42150110806904,7,6
AMD13,gt1ATR_POC,K1_930,730,1.7536032944406315,1.3383304229208823,1.2184063553158162,119.48463608973486,81.09847217946968,-21.109045629111876,-25.37959125822375,7,7
AMD14,none,none,3233,7.766300617707619,1.255104644065121,1.1595310181187561,424.47090870101727,277.23471740203445,-43.929623013332275,-50.263156898761565,7,6
AMD14,none,K1_930,903,2.1691832532601234,1.3322831078233097,1.20819313271979,140.15550939028796,92.34271878057591,-28.183953236991112,-34.3588064739822,7,7
AMD14,none,930_and_EMA,413,0.9921070693205216,1.4787410780231478,1.3490267369911157,88.09407836488319,67.35395672976641,-16.293134174024075,-18.675068348048136,7,6
AMD14,in_value,none,1171,2.8129718599862734,1.2704912394439736,1.169882503269888,159.77596681651568,104.96803363303128,-39.75145485260572,-46.18905010493996,7,5
AMD14,in_value,K1_930,453,1.0881949210706932,1.3338443573372836,1.212371604698291,71.48917473869167,47.84274947738334,-27.276360778038768,-33.22662155607755,7,6
AMD14,below_POC,none,1766,4.242278654770075,1.2530825515615627,1.158633368239349,226.6382358203819,148.33457164076387,-34.336880348652755,-47.252946034693764,7,5
AMD14,below_POC,K1_930,456,1.095401509951956,1.3415094998912018,1.2231890922183957,74.06353090671946,50.82956181343892,-21.58524074728444,-25.18278149456888,7,6
AMD14,above_POC,none,1495,3.5912834591626632,1.2487734851888042,1.1524269707670214,195.3335874646893,125.03737492937856,-30.468672214872896,-34.108844429745574,7,5
AMD14,above_POC,K1_930,453,1.0881949210706932,1.3538103847836698,1.2208148846044775,72.50438029328816,47.65216058657636,-16.492714381723992,-18.795328763447912,7,6
AMD14,gt1ATR_POC,none,2885,6.9303363074811255,1.2241843816008326,1.1308664676386389,350.8638692595732,214.24113851914646,-52.451498914260185,-58.548397828520194,7,5
AMD14,gt1ATR_POC,K1_930,732,1.75840768702814,1.3574156332936205,1.2308098276923942,123.71953057463199,84.08416114926398,-17.744716373630098,-21.02612947821796,7,6
AMD15,none,none,3586,8.614275909402883,1.194176308731555,1.1006837001739433,365.2482817709176,197.98636354183517,-49.5283331358398,-70.78266627167903,7,6
AMD15,none,K1_930,1068,2.565545641729581,1.3252155809396815,1.2042212373672654,164.50378166149335,108.56656332298674,-24.406506946125145,-31.055513892250215,7,6
AMD15,none,K3_LON_EMA,454,1.0905971173644475,1.5401393828853243,1.3968858747612325,93.54425216359274,71.98350432718551,-11.030938635923924,-12.824777271847843,8,7
